trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.001, 'e': 0.9598291299477989}",25,0,-26.912733274562328,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
43,False,"{'a': 0.001, 'e': 0.9588697805724845}",25,0,-112.61518180911524,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
44,False,"{'a': 0.001, 'e': 0.9579113900670306}",20,0,-72.27287135032512,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
45,False,"{'a': 0.001, 'e': 0.9569539574730467}",25,0,-200.29259646125595,"{0: 12, 1: 2, 2: 6, 3: 3, 4: 2}",0
46,False,"{'a': 0.001, 'e': 0.9559974818331}",25,0,-187.1743952132762,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
47,False,"{'a': 0.001, 'e': 0.9550419621907147}",20,0,-161.48259280530255,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
48,False,"{'a': 0.001, 'e': 0.9540873975903711}",30,0,-151.52464498916024,"{0: 18, 1: 2, 2: 6, 3: 3, 4: 1}",0
49,False,"{'a': 0.001, 'e': 0.9531337870775047}",20,0,-123.04946638933589,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
50,False,"{'a': 0.001, 'e': 0.9521811296985049}",30,0,-67.80623548827018,"{0: 22, 1: 2, 2: 4, 3: 2, 4: 0}",0
51,False,"{'a': 0.001, 'e': 0.951229424500714}",35,0,-255.27025442061458,"{0: 15, 1: 4, 2: 11, 3: 3, 4: 2}",0
52,False,"{'a': 0.001, 'e': 0.950278670532427}",20,0,-111.5791292427073,"{0: 10, 1: 1, 2: 6, 3: 3, 4: 0}",1
53,False,"{'a': 0.001, 'e': 0.9493288668428895}",20,0,-161.23157047849242,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
54,False,"{'a': 0.001, 'e': 0.9483800124822982}",25,18,0.7378649880310844,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.001, 'e': 0.9474321065017983}",20,0,-90.1201675019961,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
56,False,"{'a': 0.001, 'e': 0.9464851479534838}",20,0,-46.173055935907094,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
57,False,"{'a': 0.001, 'e': 0.9455391358903963}",20,0,-136.29220251848517,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
58,False,"{'a': 0.001, 'e': 0.9445940693665233}",25,0,-147.04275680471008,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
59,False,"{'a': 0.001, 'e': 0.9436499474367985}",20,0,-54.09544814181607,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
60,False,"{'a': 0.001, 'e': 0.9427067691570997}",25,0,-97.25657503117735,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
61,False,"{'a': 0.001, 'e': 0.9417645335842487}",30,19,-42.423031720336446,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
62,False,"{'a': 0.001, 'e': 0.9408232397760097}",35,6,-114.17046481100516,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 2}",1
63,False,"{'a': 0.001, 'e': 0.9398828867910889}",25,0,-137.53135010456018,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
64,False,"{'a': 0.001, 'e': 0.9389434736891332}",20,0,-112.09258524045266,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
65,False,"{'a': 0.001, 'e': 0.9380049995307295}",30,0,-27.881033779526714,"{0: 22, 1: 6, 2: 2, 3: 0, 4: 0}",0
66,False,"{'a': 0.001, 'e': 0.9370674633774034}",30,0,-246.95091959218323,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 5}",0
67,False,"{'a': 0.001, 'e': 0.9361308642916188}",25,0,-83.84769948519634,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
68,False,"{'a': 0.001, 'e': 0.9351952013367766}",25,0,-164.45614291522972,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 4}",0
69,False,"{'a': 0.001, 'e': 0.9342604735772135}",20,0,-128.25371359338203,"{0: 9, 1: 1, 2: 9, 3: 0, 4: 1}",0
70,False,"{'a': 0.001, 'e': 0.933326680078202}",20,0,-35.56106472591692,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
71,False,"{'a': 0.001, 'e': 0.9323938199059483}",20,7,-19.98372032173884,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
72,False,"{'a': 0.001, 'e': 0.9314618921275921}",20,0,-61.79839075374013,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
73,False,"{'a': 0.001, 'e': 0.9305308958112057}",25,3,-135.0023404746421,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 2}",1
